id,display_name,affiliated_institution,work_count,citation_count
https://openalex.org/A5102899719,Maria Livia Famiglietti,Unknown,2,10313
https://openalex.org/A5026050023,Sandra Orchard,Unknown,3,13451
https://openalex.org/A5104045098,ROBERT FINN,European Bioinformatics Institute,2,8875
https://openalex.org/A5059064009,Anne Estreicher,Unknown,2,10313
https://openalex.org/A5004251118,Emily Bowler-Barnett,Unknown,2,10313
https://openalex.org/A5045938547,Arnaud Gos,Unknown,2,10313
https://openalex.org/A5000732341,Chantal Hulo,Unknown,2,10313
https://openalex.org/A5091639078,Simon Wessely,King's College London,2,20299
https://openalex.org/A5078746245,Parit Bansal,Unknown,2,10313
https://openalex.org/A5090829168,Giuseppe Jurman,Fondazione Bruno Kessler,2,6885
https://openalex.org/A5103353640,Nadezhda T. Doncheva,Novo Nordisk Foundation,2,10261
https://openalex.org/A5039823870,Andrea H Auchincloss,Unknown,2,10313
https://openalex.org/A5111383725,C. R. Harris,Unknown,2,28195
https://openalex.org/A5006446297,Ilya Sutskever,Unknown,2,16710
https://openalex.org/A5051623730,Stanislav Nikolov,DeepMind (United Kingdom),2,33607
https://openalex.org/A5064235679,Marie-Claude Blatter,Unknown,2,10313
https://openalex.org/A5054683366,Nathaniel J. Smith,Unknown,2,28195
https://openalex.org/A5101419707,Bing Xu,Université de Montréal,2,11520
https://openalex.org/A5086198262,Yoshua Bengio,Université de Montréal,2,11520
https://openalex.org/A5072275311,Austra Cukura,Unknown,2,10313
https://openalex.org/A5045981348,Olaf Ronneberger,DeepMind (United Kingdom),4,39866
https://openalex.org/A5043724107,Ramona Britto,Unknown,2,10313
https://openalex.org/A5027950078,Rebecca Kirsch,Novo Nordisk Foundation,2,10261
https://openalex.org/A5037112209,Marc Feuermann,Unknown,2,10313
https://openalex.org/A5072404288,Patrick Masson,Unknown,2,10313
https://openalex.org/A5037094305,Luke A. McGuinness,University of Bristol,4,64495
https://openalex.org/A5061717074,Tyler Reddy,Los Alamos National Laboratory,2,28195
https://openalex.org/A5101862104,Hui Xiong,"Rutgers, The State University of New Jersey",2,7491
https://openalex.org/A5065028933,Isabelle Boutron,Université Paris Cité,3,61349
https://openalex.org/A5021204441,Antonia Lock,Unknown,2,10313
https://openalex.org/A5051386555,Elisabeth Gasteiger,Unknown,2,10313
https://openalex.org/A5005349213,Demis Hassabis,DeepMind (United Kingdom),6,49012
https://openalex.org/A5022013017,Emanuele Alpi,Unknown,2,10313
https://openalex.org/A5031204654,Cynthia D. Mulrow,The University of Texas Health Science Center at San Antonio,2,56691
https://openalex.org/A5082927689,Lesley Stewart,University of York,2,56691
https://openalex.org/A5091771290,David Silver,DeepMind (United Kingdom),2,34005
https://openalex.org/A5088601308,Bernardino Romera‐Paredes,DeepMind (United Kingdom),2,33607
https://openalex.org/A5090700680,Tammy Hoffmann,Bond University,3,61349
https://openalex.org/A5072760500,Tianjing Li,University of Colorado Denver,3,61349
https://openalex.org/A5051733624,Pearu Peterson,Quansight (United States),2,28195
https://openalex.org/A5071535801,María Martín,Unknown,2,10313
https://openalex.org/A5017428541,Hema Bye‐A‐Jee,Unknown,2,10313
https://openalex.org/A5076479035,Ghislaine Argoud‐Puy,Unknown,2,10313
https://openalex.org/A5039746207,Abdulrahman Hussein,Unknown,2,10313
https://openalex.org/A5007813511,Manoj M. Lalu,Ottawa Hospital,3,61349
https://openalex.org/A5068353058,David Moher,University of Ottawa,3,61349
https://openalex.org/A5061581536,Damian Szklarczyk,SIB Swiss Institute of Bioinformatics,2,10261
https://openalex.org/A5091658610,Philippe Le Mercier,Unknown,2,10313
https://openalex.org/A5101696375,Aditya Ramesh,Unknown,2,16710
https://openalex.org/A5062883663,Alexander Pritzel,DeepMind (United Kingdom),4,39866
https://openalex.org/A5019154965,Rishub Jain,DeepMind (United Kingdom),4,39866
https://openalex.org/A5072470661,Chien-Yao Wang,Academia Sinica,3,18558
https://openalex.org/A5083207547,Beatrice Cuche,Unknown,2,10313
https://openalex.org/A5086174915,K. Jarrod Millman,Imaging Center,2,28195
https://openalex.org/A5019360202,Travis E. Oliphant,Quansight (United States),2,28195
https://openalex.org/A5030571533,M. Rodríguez-López,Unknown,2,9106
https://openalex.org/A5059179935,John Jumper,DeepMind (United Kingdom),6,49012
https://openalex.org/A5049246408,Ross Girshick,Meta (Israel),3,16693
https://openalex.org/A5091567502,Sébastien Géhant,Unknown,2,10313
https://openalex.org/A5067919401,Luke Zettlemoyer,Unknown,2,10456
https://openalex.org/A5035728840,Rossana Zaru,Unknown,2,10313
https://openalex.org/A5049924936,Cristina Casals‐Casas,Unknown,2,10313
https://openalex.org/A5028177121,Nevila Hyka‐Nouspikel,Unknown,2,10313
https://openalex.org/A5015844348,Joanne E. McKenzie,Monash University,4,63882
https://openalex.org/A5050562889,Warren Weckesser,"University of California, Berkeley",2,28195
https://openalex.org/A5048123283,Kate Warner,Unknown,2,10313
https://openalex.org/A5038353416,Vivienne Baillie Gerritsen,Unknown,2,10313
https://openalex.org/A5074391235,Steve McDonald,Monash University,3,61349
https://openalex.org/A5030305998,Amanda Askell,Unknown,3,19530
https://openalex.org/A5064221962,Pauli Virtanen,University of Jyväskylä,2,28195
https://openalex.org/A5049332971,Sherjil Ozair,Université de Montréal,2,11520
https://openalex.org/A5031397536,Rabie Saidi,Unknown,2,10313
https://openalex.org/A5089027967,Elisabeth Coudert,Unknown,2,10313
https://openalex.org/A5047155247,Ralf Gommers,Quansight (United States),2,28195
https://openalex.org/A5059230101,Alok Mishra,Unknown,2,10313
https://openalex.org/A5085902321,Andrew Cowie,DeepMind (United Kingdom),5,46053
https://openalex.org/A5054045289,Elizabeth Loder,Brigham and Women's Hospital,3,61349
https://openalex.org/A5013723114,Jean Pouget-Abadie,Université de Montréal,2,11520
https://openalex.org/A5011461272,Christian Drosten,Charité - Universitätsmedizin Berlin,2,12116
https://openalex.org/A5003504334,Julie Glanville,Leeds and York Partnership NHS Foundation Trust,3,61349
https://openalex.org/A5072647800,Fabian Isensee,German Cancer Research Center,2,7908
https://openalex.org/A5076572041,Jennifer Tetzlaff,Unknown,3,61349
https://openalex.org/A5100700361,Kaiming He,Meta (Israel),2,13621
https://openalex.org/A5023051838,David Cournapeau,Unknown,2,28195
https://openalex.org/A5100338825,Heng Li,Dana-Farber Cancer Institute,2,12413
https://openalex.org/A5006316810,E. B. Turner,Unknown,2,10313
https://openalex.org/A5063402771,Gerard J. Kleywegt,European Bioinformatics Institute,2,8748
https://openalex.org/A5059430118,Alex Bateman,Unknown,4,18611
https://openalex.org/A5039390024,Hermann Zellner,Unknown,2,10313
https://openalex.org/A5114376389,Lorna Richardson,European Bioinformatics Institute,2,8875
https://openalex.org/A5019985343,Martin Steinegger,Seoul National University,2,37795
https://openalex.org/A5074901391,Andrea C. Tricco,Queen's University,3,61349
https://openalex.org/A5059260582,Girish Sastry,Unknown,2,16710
https://openalex.org/A5033948789,Preethi Vasudev,Unknown,2,10313
https://openalex.org/A5077863600,Kristian B. Axelsen,Unknown,2,10313
https://openalex.org/A5090183643,James Thomas,University College London,4,63882
https://openalex.org/A5054403907,Jeremy Grimshaw,University of Ottawa,3,61349
https://openalex.org/A5088186812,Jonas Adler,DeepMind (United Kingdom),3,36896
https://openalex.org/A5012694144,Delphine Baratin,Unknown,2,10313
https://openalex.org/A5059717452,Daniel L Rice,Unknown,2,10313
https://openalex.org/A5063529978,Sebastian W. Bodenstein,DeepMind (United Kingdom),3,37305
https://openalex.org/A5009279307,Tao Fang,SIB Swiss Institute of Bioinformatics,2,10261
https://openalex.org/A5079907259,Andrew J. Ballard,DeepMind (United Kingdom),3,36896
https://openalex.org/A5101690881,Jie Luo,Unknown,2,10313
https://openalex.org/A5051250767,Alec Radford,Unknown,2,16710
https://openalex.org/A5005013658,Mahdi Mahmoudy,Unknown,2,10313
https://openalex.org/A5040201934,Emmanuel Boutet,Unknown,2,10313
https://openalex.org/A5082490970,Sylvain Poux,Unknown,2,10313
https://openalex.org/A5070493940,Stéfan van der Walt,Imaging Center,2,28195
https://openalex.org/A5009567462,Augustin Žídek,DeepMind (United Kingdom),6,49012
https://openalex.org/A5102416863,Saining Xie,Meta (Israel),3,17291
https://openalex.org/A5027154958,Alex Bridgland,DeepMind (United Kingdom),5,42825
https://openalex.org/A5026049213,Katerina Nastou,Novo Nordisk Foundation,2,10261
https://openalex.org/A5042460017,Sameer Velankar,European Bioinformatics Institute,2,8748
https://openalex.org/A5081176610,Agata Laydon,DeepMind (United Kingdom),2,8748
https://openalex.org/A5022542014,Guoying Qi,Unknown,2,10313
https://openalex.org/A5047948695,Lionel Breuza,Unknown,2,10313
https://openalex.org/A5082961445,Vishal Joshi,Unknown,2,10313
https://openalex.org/A5079389977,Kathryn Tunyasuvunakool,DeepMind (United Kingdom),5,46053
https://openalex.org/A5070436721,Damien Lieberherr,Unknown,2,10313
https://openalex.org/A5053160264,Leyla Jael Castro,Unknown,2,11936
https://openalex.org/A5029508763,Michał Zieliński,Google (United Kingdom),3,8820
https://openalex.org/A5108538229,Hong-Yuan Mark Liao,Academia Sinica,3,18558
https://openalex.org/A5026860748,Fábio Madeira,Unknown,2,10313
https://openalex.org/A5027292126,Klaus Maier‐Hein,German Cancer Research Center,2,7908
https://openalex.org/A5043957302,Sangya Pundir,Unknown,2,10313
https://openalex.org/A5047540997,Matthew Brett,University of Birmingham,2,28195
https://openalex.org/A5009279088,Shriya Raj,Unknown,3,16050
https://openalex.org/A5003981652,Tunca Doğan,Unknown,2,10313
https://openalex.org/A5001593274,Aurélien Luciani,Unknown,2,10313
https://openalex.org/A5072185945,Shadab Ahmad,Unknown,2,10313
https://openalex.org/A5000334281,Christian von Mering,SIB Swiss Institute of Bioinformatics,2,10261
https://openalex.org/A5000788984,Elena Speretta,Unknown,2,10313
https://openalex.org/A5050109164,Stig Petersen,DeepMind (United Kingdom),4,42753
https://openalex.org/A5112608251,Aaron Courville,Université de Montréal,2,11520
https://openalex.org/A5028179581,Alexey Bochkovskiy,Unknown,2,15035
https://openalex.org/A5027873927,Andrew Nightingale,Unknown,2,10313
https://openalex.org/A5042565338,Xavier Watkins,Unknown,2,10313
https://openalex.org/A5084204507,Sergey Ovchinnikov,Harvard University Press,2,10921
https://openalex.org/A5085094751,Nidhi Tyagi,Unknown,2,10313
https://openalex.org/A5011711071,Paul Denny,Unknown,2,10313
https://openalex.org/A5076857775,Emma Hatton-Ellis,Unknown,2,10313
https://openalex.org/A5004635493,Michele Magrane,Unknown,2,10313
https://openalex.org/A5075834790,Naman Goyal,Unknown,3,13106
https://openalex.org/A5067959898,Lucila Aimo,Unknown,2,10313
https://openalex.org/A5057289323,Sandhini Agarwal,Unknown,3,19530
https://openalex.org/A5069349768,Leonardo Jose da Costa Gonzales,Unknown,2,10313
https://openalex.org/A5019695981,Arnaud Kerhornou,Unknown,2,10313
https://openalex.org/A5064685592,Gretchen Krueger,Unknown,2,16710
https://openalex.org/A5011556172,Davide Chicco,Krembil Research Institute,2,6885
https://openalex.org/A5090702156,Katie Moulang,Unknown,2,10313
https://openalex.org/A5091039507,Alexandr Ignatchenko,Unknown,2,10313
https://openalex.org/A5061539931,ThankGod E. Ebenezer,Unknown,2,10313
https://openalex.org/A5061726857,Patrick M. Bossuyt,University of Amsterdam,3,61349
https://openalex.org/A5017082774,Richard Evans,DeepMind (United Kingdom),5,42825
https://openalex.org/A5070442023,Roger Chou,Oregon Health & Science University,3,61349
https://openalex.org/A5091561305,Larissa Shamseer,University of Ottawa,3,61349
https://openalex.org/A5084502030,Alistair MacDougall,Unknown,2,10313
https://openalex.org/A5035471281,Mehdi Mirza,Université de Montréal,2,11520
https://openalex.org/A5013834379,Pushmeet Kohli,DeepMind (United Kingdom),6,49012
https://openalex.org/A5089979303,Matthew J. Page,Monash University,3,61349
https://openalex.org/A5030626083,Anna Potapenko,DeepMind (United Kingdom),4,39866
https://openalex.org/A5068354146,Jun Fan,Unknown,2,10313
https://openalex.org/A5101569668,Tim Green,DeepMind (United Kingdom),6,49012
https://openalex.org/A5029006782,Vivian Welch,Bruyère,4,63882
https://openalex.org/A5074309419,Peer Bork,Heidelberg University,2,10261
https://openalex.org/A5085746798,David Warde-Farley,Université de Montréal,2,11520
https://openalex.org/A5046282166,Yvonne Lussi,Unknown,2,10313
https://openalex.org/A5054576402,Simon Kohl,DeepMind (United Kingdom),3,38710
https://openalex.org/A5038378109,Eric Wieser,University of Cambridge,2,28195
https://openalex.org/A5101711502,Shazia Alam,Unknown,2,13688
https://openalex.org/A5055073392,Nicole Redaschi,Unknown,2,10313
https://openalex.org/A5090341705,Koray Kavukcuoglu,DeepMind (United Kingdom),4,39207
https://openalex.org/A5085464473,Robert Kern,Enthought (United States),2,28195
https://openalex.org/A5055917772,Evan Mayo‐Wilson,Indiana University Bloomington,3,61349
https://openalex.org/A5077388783,Penny Whiting,University of Bristol,3,61349
https://openalex.org/A5078283120,Jerven Bolleman,Unknown,2,10313
https://openalex.org/A5076235150,Florence Jungo,Unknown,2,10313
https://openalex.org/A5091317839,Veselin Stoyanov,Unknown,2,10456
https://openalex.org/A5079708487,Andrew Senior,DeepMind (United Kingdom),4,39536
https://openalex.org/A5067459456,Clemens Meyer,DeepMind (United Kingdom),2,33607
https://openalex.org/A5004531184,Michael Figurnov,DeepMind (United Kingdom),4,43083
https://openalex.org/A5096162130,Kamal Chikh Echioukh,Unknown,2,10313
https://openalex.org/A5061379058,Ewan Birney,European Bioinformatics Institute,2,8748
https://openalex.org/A5090916579,Alan Bridge,Unknown,2,10313
https://openalex.org/A5005772961,Lars Juhl Jensen,Novo Nordisk Foundation,2,10261
https://openalex.org/A5066925770,Sampo Pyysalo,University of Turku,2,10261
https://openalex.org/A5010825633,Annika L Gable,SIB Swiss Institute of Bioinformatics,2,10261
https://openalex.org/A5033654825,Giuseppe Insana,Unknown,2,10313
https://openalex.org/A5034785056,Penelope Garmiri,Unknown,3,13451
https://openalex.org/A5110728949,Asbjørn Hróbjartsson,Cochrane,3,61349
https://openalex.org/A5065438573,Dushyanth Jyothi,Unknown,2,10313
https://openalex.org/A5041615321,Elie A. Akl,McMaster University,4,65012
https://openalex.org/A5069316249,Édouard Grave,Unknown,2,6699
https://openalex.org/A5046346579,Ellen Clancy,DeepMind (United Kingdom),4,42764
https://openalex.org/A5113989875,Russ Bates,DeepMind (United Kingdom),3,36577
https://openalex.org/A5047798389,Rizwan Ishtiaq,Unknown,3,13451
https://openalex.org/A5057866698,Piotr Dollár,Meta (Israel),2,7262
https://openalex.org/A5012486829,Sue Brennan,Monash University,4,63882
https://openalex.org/A5009240058,David Reiman,DeepMind (United Kingdom),3,36896
